Titre,description,calendrier,prix,link
Prix fondation Deloitte 2024,"Pour sa dixième édition, le Prix de la Fondation Deloitte récompense des projets à vocation sociale ou environnementale, portés par des associations, des entrepreneurs sociaux et des étudiants.","
Fin des inscriptions : 10 avril
","
Une dotation financière de 1 000 à 4 000 €
Un accompagnement par des collaborateurs de Deloitte,
Une invitation à la soirée du Prix de la Fondation Deloitte
une mise en avant dans un article CareNews, média de l’économie sociale et solidaire
",https://www.pepite-france.fr/prix-de-la-fondation-deloitte-2024/
Concours Audace,"Le concours Audace est né pour révéler les talents entrepreneuriaux à Audencia, étudiants comme Alumni","
Clôtures des inscriptions : 1er avril inclus
","Financement, accompagnement, dotations financières, des places pour des événements de l’écosystème",https://audace.audencia.com/
Concours Semeurs d’Innovation les 4 S,"Vous avez un projet innovant ? Découvrez le concours ouvert à tous pour les des projets autour de l’Environnement, la Solidarité et le Territoire. Organisé par le Crédit Mutuel","
Candidature avant le 31 mars
","👉 Un accompagnement aux petits oignons par nos chargés d’affaires innovations, pendant et après le concours,
👉 4 Bonsaïs et 16 000 € de dotation financière partagés par nos 4 lauréats
👉 Une mise en réseau et un accompagnement en interne et avec nos partenaires",https://les4s-semeurdinnovation-creditmutuel.fr/
Concours Génération Chtiiing 2024,"Destiné aux jeunes créatif.ve.s nantais.es de moins de 26 ans, ce concours est l’occasion pour nombre d’étudiants de soumettre leur projet réalisé dans le cadre de leurs études et de peut-être se voir attribuer l’un des prix proposés aux 4 lauréats.","
Clôture des inscriptions : 10 mars 2024
","4 projets/talents seront élus, avec à la clé 2700€ de dotations à gagner",https://generation-chtiiing.my.canva.site/
Prix Moovjee,"C’est le seul concours national et généraliste uniquement dédié aux jeunes entrepreneurs et porteurs de projets âgés de 18 à 30 ans. Quel que soit son secteur d’activité, quelle que soit sa zone géographique, que son projet soit à impact ou non, que son projet soit innovant ou pas, que votre projet soit aux prémisses  ou à un stade de développement avancé,  tentez votre chance !","
Clôture des inscriptions : 6 mars 2024
",Jusqu’à 150 000€ de dotations,https://www.moovjee.fr/prix-moovjee-comment-ca-marche-2/
Concours Pépites des Pépite,"Pépites des Pépite a pour ambition de mettre en valeur 5 belles histoires entrepreneuriales innovantes et inspirantes issues du réseau Pépite France. Ouvert sur candidature exclusivement aux alumnis du réseau Pépite France, ce prix a pour objectif de mettre en perspective la diversité des parcours de jeunes entrepreneurs.","
Clôture des inscriptions : 10 mars 2024
","Financement, accompagnement, visibilité internationale",https://www.pepite-france.fr/pepites-des-pepite-2024/
Prix entreprendre pour demain,"Le Prix Entreprendre pour demain de la Fondation Sopra Steria-Institut de France récompense depuis plus de 20 ans des projets qui mettent l’innovation numérique au service d’enjeux sociaux, sociétaux et environnementaux.",Date limite de dépôt des dossiers : 26 février 2024,2 prix à gagner (Grand Prix et Prix coup de cœur) / 10 000 et 5000 euros de dotations + accompagnement complet,https://www.fondationsoprasteria.org/prix-entreprendre-pour-demain
Jeunes Talents de Loire-Atlantique,"Un coup de pouce pour inventer le monde de demain. Vous avez de 18 à 35 ans, vous habitez la Loire-Atlantique et vous développez un projet inédit pour contribuer à changer le quotidien ? Presse Océan peut vous aider. Le journal s’est associé au Département de Loire-Atlantique, et plusieurs partenaires, afin de faire émerger et soutenir des initiatives locales.","
Clôture des inscriptions : le 25/02/2024
","Aide financière (c’est une nouveauté) et de l’appui du réseau constitué par Presse Océan et ses partenaires (Département, Crédit mutuel, Machines de l’île, chambre de métiers et de l’artisanat…) : visibilité dans le journal et sur internet, rencontres et mentorat, événements, partage d’expériences…",https://engage.beop.io/5ac7982746e0fb0001e4179c/65aa9621964b526e62cc96b9
French Tech Tremplin,"Ce programme d’accompagnement a pour objectif de former gratuitement les entrepreneur·es aux fondamentaux de la création d’entreprise numérique, et de sensibiliser aux métiers de la tech en général.","
Clôture des inscriptions : le 01/03/2024 (avant 23h59)
","Financement à gagner : 22900€ par Bpi France, accompagnement d’un an par un incubateur, accès à un réseau de professionnels",https://www.lafrenchtechnantes.com/french-tech-tremplin/
Femmes du Numérique,Le groupe La Poste soutient les femmes qui innovent dans le numérique avec son programme Coups de Cœur #FemmesduNumérique.Vous êtes entrepreneure dans l’âme et vous avez envie de lancer un nouveau projet dans le numérique ? Vous dirigez déjà votre startup et vous avez une idée pour faire évoluer votre offre  ?,"
Clôture des inscriptions : le 01/03/2024 (avant 23h59)
",Tentez de remporter jusqu’à 4 000 € pour propulser votre projet avec le soutien du groupe La Poste et de KissKissBankBank !,https://welcome.kisskissbankbank.com/laposte-coupsdecoeur-femmesdunumerique-2024/
Concours Entrepreneuriat à Impact de l’ESA,Ce concours est organisé par l’ESA d’Angers et ouvert à tous les étudiants des établissements de l’enseignement supérieur de Maine-et-Loire.,"16 février 2024 : Date limite de dépôt des dossiers
Du 19 au 23 février : Évaluation des dossiers
Du 26 février au 3 mars : Soutenances des projets présélectionnés
7 mars : Remise des prix à l’ESA d’Angers",5 projets récompensés / 7 000 euros de dotations,https://www.groupe-esa.com/concours-entrepreneuriat-a-impact-edition-2024/
Concours 101 femmes de Matignon,"« 101 Femmes de Matignon », c’est un concours visant à mettre en lumière une femme entrepreneure dans chaque département français. Vous pouvez être l’une d’entre elles.","
Clôture des inscriptions : le 26/01/2024
Sélection des Lauréates : du 29 janvier 2024 au 16 février 2024
Bootcamp : les 6 et 7 mars 2024 à Paris
Cérémonie nationale : le 8 mars 2024 à Paris
","Mentoring, accompagnement à l’ingénierie financière….",https://www.101femmesdematignon.fr/fr
Concours Jeunes By CA,"Participe à la première édition du Concours Jeunes by CA Atlantique Vendée.
Tu as entre 18 et 25 ans ? Tu as un projet de création d’entreprise, d’association ou de start-up que tu souhaites concrétiser ? Nous sommes là pour te donner cette opportunité !",31 décembre 2023 : Date limite de dépôt des dossiers,"2 000€ pour chaque projet gagnant (4 projets gagnants) + accompagnement professionnel de son choix (communication, web, accélérateur start-up…)",https://www.credit-agricole.fr/ca-atlantique-vendee/particulier/jeunes/concours-annuel.html?a
La Social Cup,"Un concours national pour faire décoller ton projet. Postule avec ton projet, seul ou en groupe : à la clé, des rencontres, de l’accompagnement et de nombreux prix d’une valeur allant jusqu’à 19 000 euros.","31 décembre 2023 : Date limite de dépôt des dossiers
Fin janvier 2024 : Jurys régionaux","
Les 12 finalistes gagnent entre 500 et 4000€
3 prix “Coup de pouce” de 1000€ de la Fondation GRDF
Un coaching individuel pour sortir ton meilleur pitch
",https://lasocialcup.com/concours/
Concours Petit Poucet,Petit Poucet soutient l’entrepreneuriat étudiant en accompagnant les jeunes créateurs et créatrices d’entreprise qui veulent changer le monde. C’est une organisation à qui cherche à maximiser l’impact positif de la création d’entreprise.,Fin des candidatures : 15 décembre 2023,"5 000€ de dotation financière, accompagnement",https://www.pepite-france.fr/concours-petit-poucet-2024/
Concours Coup de Pouce Fondation Le Roch Les Mousquetaires,Concours à destination des start-up et jeunes porteurs de projets prometteurs,Fin des candidatures : 31 octobre 2023,"10 000€ de dotation financière, accompagnement",https://fondationleroch-lesmousquetaires.org/accueil/soutien-aux-entrepreneurs/coup-de-pouce/
